id_n,total_gross_income,total_taxable_income,total_pit,total_net_icome
686984,100,100,15,0
229969,100,100,15,0
867327,100,100,15,0
831928,100,100,15,0
724761,100,100,15,0
631297,100,100,15,0
330333,100,100,15,0
835434,100,100,15,0
876027,100,100,15,0
128190,100,100,15,0
562846,100,100,15,0
269856,100,100,15,0
747937,100,100,15,0
322725,100,100,15,0
251482,100,100,15,0
44342,100,100,15,0
843265,100,100,15,0
369365,100,100,15,0
631442,102,102,10,0
870932,103,103,15,0
184545,103,103,15,0
464724,106,106,16,0
565754,106,53,8,0
669607,106,106,16,0
265499,106,106,16,0
175365,106,106,16,0
85273,106,106,16,0
506711,106,106,16,0
476327,108,108,16,0
794159,111,111,11,0
99697,111,111,11,0
440824,111,111,11,0
44799,112,112,17,0
360215,114,114,17,0
83994,115,115,12,0
860109,116,58,9,0
740819,119,119,12,0
231301,120,24,2,0
689667,120,120,18,0
268267,120,120,18,0
310302,120,120,18,0
837859,122,122,18,0
844022,123,123,18,0
477817,125,125,19,0
880828,125,125,19,0
543915,125,75,11,0
652591,125,75,11,0
858366,127,63,9,0
269904,128,128,13,0
831953,130,130,20,0
61953,132,132,20,0
852466,133,66,10,0
216253,133,133,20,0
838811,134,134,20,0
359964,135,135,20,0
643134,136,136,20,0
820442,139,139,21,0
325466,140,140,21,0
880627,140,140,21,0
632752,140,140,21,0
556304,140,140,21,0
746093,140,140,21,0
676529,140,140,21,0
855331,141,70,10,0
127506,150,150,22,0
44529,150,150,22,0
88590,150,150,22,0
632742,150,150,22,0
269395,150,150,22,0
187695,150,150,22,0
840655,150,150,22,0
429432,150,150,22,0
162389,150,150,22,0
486425,150,150,22,0
880645,150,150,22,0
274609,150,150,22,0
83837,150,150,22,0
237281,150,150,22,0
437159,150,150,22,0
79339,152,152,23,0
855559,153,153,23,0
560936,158,158,24,0
417943,160,160,24,0
486400,160,160,24,0
274232,160,160,24,0
534946,160,160,24,0
125694,160,160,24,0
648599,163,163,24,0
477643,164,164,25,0
139570,166,166,17,0
603501,168,168,25,0
854144,168,168,17,0
848128,169,169,25,0
879268,175,87,13,0
832580,176,176,26,0
782354,176,176,26,0
870574,176,176,26,0
